ESTACION RADAR;ABREVIATURA SASS-C;PROPIEDAD;USO;TIPO;POSICION WGS84;ZONA UTM;SAC;SIC
LOJA (MSSR);LELJ;CIVIL;RUTA;MSSR;37 03 06,24N / 04 12 19,92W;30S;;
;;;;;;;;
;;;;;;;;
MÁLAGA (SMMS);;CIVIL;SUPERF.;SMMS;36 40 29,893N / 004 29 57,146W;30S;0;108
MÁLAGA (ADS-B);;CIVIL;APROX;ADS-B;36 40 29,893N / 004 29 57,146W;30S;0;108
;;;;;;;;
;;;;;;;;
MÁLAGA I (MSSR);LEAG;CIVIL;APROX;MSSR;36 39 41,51281N / 04 28 21,36861W;30S;20;65
;;;;;;;;
;;;;;;;;
MÁLAGA II (PSR/MSSR);LEG2;CIVIL;APROX;PSR + MSSR;36 40 11,8457N / 04 28 58,9826W;30S;20;66
;;;;;;;;
;;;;;;;;
MÁLAGA 3 (MSSR-S);LEAG;CIVIL;APROX;Modo S;36 39 41,5128N / 04 28 21,3686W;30S;20;69
MÁLAGA 3 (ADS-B);LEAG;CIVIL;APROX;ADS-B;36 39 41,5128N / 04 28 21,3686W;30S;20;238
;;;;;;;;
;;;;;;;;
MONFLORITE (MSSR-S);LEMI;CIVIL;RUTA;Modo S;42 05 08,0171N / 00 19 31,4424W;30T;20;11
;;;;;;;;
;;;;;;;;
MONTEJUNTO (MSSR);LPMO;CIVIL/PT;RUTA;MSSR;39 10 23,85N / 09 02 52,76W;29S;104;1
;;;;;;;;
;;;;;;;;
MONTPELLIER (MSSR-S);LFMO;CIVIL/FR;RUTA;Modo S;43 47 12,262N / 03 14 44,456E;31T;8;23
;;;;;;;;
;;;;;;;;
MOTRIL (MSSR);LEMT;MILITAR;RUTA;MSSR;36 44 37,3000N / 03 25 01,5000W;30S;20;53
;;;;;;;;
;;;;;;;;
NOYA (MSSR);;MILITAR;RUTA;MSSR;42 43 18,1000N / 08 55 26,2000W;29T;;
;;;;;;;;
;;;;;;;;
OPORTO  (MSSR);;CIVIL/PT;RUTA;MSSR;41 14 49,22N / 08 41 07,73W;29T;104;7
;;;;;;;;
;;;;;;;;
PALMA MALLORCA (PSR/MSSR-S);LEPL;CIVIL;APROX;PSR + Modo S;39 32 36,3581N / 02 44 42,9137E;31S;20;131
PALMA MALLORCA (SMMS);LEPS;CIVIL;SUPERF.;SMMS;39 33 06,0274N / 02 44 19,7056E;31S;0;102    
PALMA MALLORCA (SMR);LEPS;CIVIL;SUPERF.;SMR;39 32 55,2153N / 02 43 57,8324E;31S;0;2    
;;;;;;;;
;;;;;;;;
PARACUELLOS I  (PSR/MSSR-S);LEPU;CIVIL;RUTA;PSR + Modo S;40 29 30,8204N / 03 31 18,2894W;30T;20;1
PARACUELLOS I  (ADS-B);LEPU;CIVIL;RUTA;ADS-B;40 29 30,8204N / 03 31 18,2894W;30T;20;215
;;;;;;;;
;;;;;;;;
PARACUELLOS II  (PSR/MSSR-S);LEPE;CIVIL;APROX;PSR + Modo S;40 29 58,4329N / 03 31 26,1914W;30T;20;2
;;;;;;;;
;;;;;;;;
PEÑAS CHACHE MILITAR (MSSR);;MILITAR;RUTA;MSSR;29 07 12,2N / 13 31 15,4W;28R;20;57
;;;;;;;;
;;;;;;;;
PORTO SANTO (MSSR);LPPS;CIVIL/PT;RUTA;MSSR;33 05 03,65N / 16 19 28,93W;28S;104;4
